"","bike_station.id","bike_lat","bike_long","bike_nRides_start","bike_durationMed_start","startTimeAvg","startTimeSd","endLatAvg","endLatSd","endLongAvg","endLongSd","bike_females_start","males.x","bike_ageMed_start","bike_nRides_end","bike_durationMed_end","endTimeAvg","endTimeSd","startLatAvg","startLatSd","startLongAvg","startLongSd","bike_females_end","males.y","bike_ageMed_end"
"350",3062,40.69539817,-73.94954908,2583,430,15:15:40,0.22992627618808,40.697388701231,0.0130465769100251,-73.9537837298735,0.0150644598539719,0.238482384823848,0.760743321718931,32,2779,322,12:31:32,0.241728626232567,40.6955692452334,0.0116234059066299,-73.9519480560783,0.0134946545035987,0.198992443324937,0.800647715005398,32
"351",3063,40.69527008,-73.95238108,1650,520,14:43:45,0.222436620044197,40.6991117070563,0.0141747559674071,-73.9590994264421,0.0160118877716225,0.227878787878788,0.76969696969697,32,1869,574,15:28:16,0.223501074189855,40.7025045755078,0.0151281659990991,-73.962005926919,0.0170482593057986,0.229534510433387,0.759764579989299,32
"352",3064,40.69681963,-73.93756926,5466,689,14:15:11,0.256644103737747,40.7027367475775,0.0171011015882129,-73.9588691509825,0.0200879341039212,0.245883644346872,0.752103915111599,31,5799,744,14:58:31,0.248061884747382,40.7021599067644,0.0167416561877263,-73.9585170577639,0.0207106039926385,0.239351612346956,0.75840662183135,31
"353",3065,40.70029511,-73.95032283,1658,568,15:22:44,0.202876401808019,40.7075284061923,0.011893697442052,-73.958366183101,0.0153200610321279,0.269601930036188,0.730398069963812,33,1557,520,14:43:37,0.238454820927755,40.7056024847436,0.0127582902638541,-73.9583555759919,0.0158403722607906,0.274887604367373,0.724470134874759,33
"354",3066,40.69957608,-73.94708417,2644,732.5,15:44:47,0.187893777056078,40.70498472148,0.0166356297706664,-73.9622997158427,0.0195182734699187,0.188350983358548,0.808623298033283,32,2844,622,12:26:54,0.230819398247451,40.7049651625141,0.0147374529078721,-73.9612217976302,0.0174902173762545,0.214135021097046,0.780942334739803,34
"355",3067,40.7016657,-73.9437303,2946,527,14:04:58,0.21425112231988,40.7096805680349,0.0150637846202177,-73.9579877539236,0.0174256335967782,0.206720977596741,0.78173794976239,32,3119,529,15:14:18,0.250196666689517,40.7082584234941,0.0135012725193816,-73.9582488815809,0.0183188248361675,0.211926899647323,0.781019557550497,32
"356",3068,40.7031724,-73.940636,3238,763.5,14:13:37,0.222900737792759,40.7089140532809,0.0151868789659736,-73.9586825129836,0.0198392745762619,0.255404570722668,0.68591723285979,30,3778,685,15:01:39,0.254978309714153,40.708235825076,0.0147815573034957,-73.9559050547082,0.0186928173234862,0.262308099523557,0.696664902064584,30
"357",3069,40.70411791,-73.94818595,2237,384,14:51:16,0.223692963354635,40.7066216868382,0.0124359305955506,-73.955542133389,0.0173016533718292,0.276709879302637,0.721502011622709,32,2253,361,13:57:31,0.233903892207114,40.7049542510992,0.013605112418435,-73.9543523234364,0.0178220700798748,0.279183311140701,0.719041278295606,32
"358",3070,40.70510918,-73.94407279,2404,579.5,13:33:58,0.212256890588986,40.7115346821105,0.0125778515310547,-73.9584490424525,0.0176275596527744,0.333610648918469,0.664725457570715,32,2397,597,16:23:03,0.236407888326612,40.7112681631472,0.0123610835618248,-73.9606717927481,0.0209881531922254,0.300792657488527,0.697955778055903,32
"359",3071,40.70538077,-73.94976519,2657,407,14:55:21,0.226035577799139,40.7080194013664,0.0116169433840372,-73.9546815954714,0.0165812553469294,0.318780579601054,0.678961234474972,32,2851,401,15:20:22,0.218398316193844,40.7099486236423,0.0133748398097299,-73.9579591719639,0.0182814469596593,0.293230445457734,0.705366538056822,33
"360",3072,40.70583339,-73.94644578,2666,500,12:29:33,0.209821464745433,40.7113785427534,0.0117438974770962,-73.9569145140076,0.0184119652913915,0.406976744186047,0.58702175543886,33,2691,502,16:40:42,0.231330222975276,40.7133491928895,0.0120581692533284,-73.9583511324753,0.0188574501139247,0.384986993682646,0.607952434039391,32
"361",3073,40.70691254,-73.95441667,3179,528,15:17:44,0.230302650756287,40.7097052115091,0.0133515442866628,-73.9583619761209,0.0170735177335987,0.303554576910978,0.695187165775401,33,3120,545.5,15:21:35,0.248887780333924,40.7119555349928,0.0148569819179103,-73.9625758756723,0.0178177792901283,0.27275641025641,0.726282051282051,33
"362",3074,40.70767788,-73.94016171,7413,637,14:58:25,0.256194886379365,40.71055638772,0.0142279000175555,-73.9573758372116,0.0185951261788736,0.252664238499933,0.743828409550789,33,8012,655,15:20:30,0.222719765808736,40.7111871855504,0.0142418770939243,-73.9585408363021,0.0188954079925837,0.251372940589116,0.742511233150275,33
"363",3075,40.70708701,-73.95796783,1255,555,15:43:46,0.194927931315394,40.707552573647,0.0129509073554611,-73.9598910742972,0.014067211799467,0.367330677290837,0.630278884462151,34,1086,576.5,14:22:07,0.210429193937903,40.7088907665825,0.012254743000755,-73.9593363530857,0.0138899301099896,0.342541436464088,0.655616942909761,34
"364",3076,40.70870368,-73.9448625,3951,535,13:12:21,0.217772087676995,40.7155074564529,0.0127847135702632,-73.9579215445477,0.0174586417297922,0.369526702100734,0.624145785876993,33,3908,526.5,16:18:05,0.242325082291215,40.7134948959649,0.0122786936944316,-73.9577034802243,0.0175595197609185,0.344421699078813,0.64150460593654,33
"365",3077,40.70877084,-73.95095259,6130,498.5,13:42:27,0.214980958254243,40.7165663989959,0.0147195944791403,-73.9617230764337,0.0172715370287,0.33278955954323,0.666557911908646,34,6137,518,16:02:04,0.258783398414327,40.716555764708,0.0132272400224658,-73.9626311781101,0.0173689983774927,0.306664494052469,0.693172559882679,34
"366",3078,40.70925562,-73.95982218,6851,373,15:16:51,0.21186696334575,40.7136839373044,0.0114692429636801,-73.9639909184203,0.0127949259956349,0.330754634359947,0.666034155597723,33,6684,408.5,13:26:15,0.218035292439854,40.7146328283316,0.0124330953154044,-73.9642209101843,0.0140878647834247,0.374925194494315,0.620736086175943,34
"367",3079,40.71103537,-73.94714303,5197,557,14:31:08,0.232230686536208,40.714110112552,0.0146024080420656,-73.9604410083941,0.0176057112873224,0.288628054646912,0.708485664806619,32,5353,541,16:29:32,0.226001924314957,40.7158046385602,0.0145426405070411,-73.9602030292196,0.0171931542874297,0.286194657201569,0.711376798057164,32
"368",3080,40.70934,-73.95608,4328,456,13:54:29,0.214472555112457,40.7156023750251,0.013336489696198,-73.9635171252377,0.0179834665218067,0.320009242144177,0.678142329020333,33,4257,478,14:56:40,0.242955229105424,40.7164884800333,0.0134808377025532,-73.9618239652267,0.0175079986324144,0.31759455015269,0.680291284942448,33
"369",3081,40.711863,-73.944024,4040,533,14:09:48,0.22673520009914,40.7150047457594,0.0130172886467057,-73.9595533660934,0.0174939652609309,0.247029702970297,0.751237623762376,33,3825,594,15:35:18,0.248165081231872,40.7152683126361,0.0139837559830973,-73.9614506091025,0.0185281895284289,0.25281045751634,0.74483660130719,33
